Ticker,close,high,low,month,open,volume,time,year,day
BHARTIARTL,925.3,928.25,916.05,10,918.25,4338272,0 days 05:30:00,2023,3
BHARTIARTL,924.25,925.95,918.3,10,918.3,5603669,0 days 05:30:00,2023,4
BHARTIARTL,928.85,929.6,919.4,10,925.05,7063132,0 days 05:30:00,2023,5
BHARTIARTL,926.05,929.2,924.3,10,929.2,2420855,0 days 05:30:00,2023,6
BHARTIARTL,924.55,928.05,916.55,10,918.0,2248103,0 days 05:30:00,2023,9
BHARTIARTL,948.35,954.05,921.05,10,924.55,7897875,0 days 05:30:00,2023,10
BHARTIARTL,955.6,956.8,948.0,10,948.5,5645289,0 days 05:30:00,2023,11
BHARTIARTL,950.35,956.8,947.0,10,955.6,5544735,0 days 05:30:00,2023,12
BHARTIARTL,954.2,955.95,946.3,10,946.3,4421671,0 days 05:30:00,2023,13
BHARTIARTL,946.55,958.75,943.85,10,957.95,1881721,0 days 05:30:00,2023,16
BHARTIARTL,953.65,960.25,946.0,10,946.55,3863410,0 days 05:30:00,2023,17
BHARTIARTL,952.85,958.9,950.65,10,953.0,2334392,0 days 05:30:00,2023,18
BHARTIARTL,942.95,951.3,941.35,10,945.8,4306963,0 days 05:30:00,2023,19
BHARTIARTL,945.2,947.5,937.0,10,937.8,3125104,0 days 05:30:00,2023,20
BHARTIARTL,939.3,949.1,937.0,10,941.6,2180066,0 days 05:30:00,2023,23
BHARTIARTL,922.6,939.65,919.0,10,924.6,6365249,0 days 05:30:00,2023,25
BHARTIARTL,905.5,924.6,900.05,10,921.65,6595332,0 days 05:30:00,2023,26
BHARTIARTL,914.6,918.4,906.45,10,910.75,3508393,0 days 05:30:00,2023,27
BHARTIARTL,926.25,931.95,910.35,10,914.8,3686773,0 days 05:30:00,2023,30
BHARTIARTL,914.4,923.55,912.4,10,920.3,5697563,0 days 05:30:00,2023,31
BHARTIARTL,913.45,914.55,895.45,11,903.0,4821458,0 days 05:30:00,2023,1
BHARTIARTL,923.85,925.95,916.4,11,920.0,6611573,0 days 05:30:00,2023,2
BHARTIARTL,930.75,933.7,922.2,11,925.0,3895154,0 days 05:30:00,2023,3
BHARTIARTL,939.2,940.7,930.0,11,934.2,2760800,0 days 05:30:00,2023,6
BHARTIARTL,937.15,938.95,932.45,11,936.05,3616946,0 days 05:30:00,2023,7
BHARTIARTL,936.75,941.8,934.4,11,941.8,1808553,0 days 05:30:00,2023,8
BHARTIARTL,932.35,937.3,930.55,11,936.75,3914416,0 days 05:30:00,2023,9
BHARTIARTL,935.5,937.0,929.0,11,929.0,1345614,0 days 05:30:00,2023,10
BHARTIARTL,938.0,940.0,933.0,11,940.0,174810,0 days 05:30:00,2023,12
BHARTIARTL,935.0,940.3,933.8,11,938.0,1656368,0 days 05:30:00,2023,13
BHARTIARTL,950.0,952.7,936.2,11,948.0,4816316,0 days 05:30:00,2023,15
BHARTIARTL,949.55,953.9,943.25,11,949.0,5310736,0 days 05:30:00,2023,16
BHARTIARTL,947.3,954.0,946.0,11,948.8,3249469,0 days 05:30:00,2023,17
BHARTIARTL,961.4,964.3,941.95,11,949.0,4646962,0 days 05:30:00,2023,20
BHARTIARTL,970.85,976.35,961.0,11,967.0,5704644,0 days 05:30:00,2023,21
BHARTIARTL,969.75,976.3,965.95,11,974.3,3309732,0 days 05:30:00,2023,22
BHARTIARTL,976.65,981.0,963.7,11,970.0,2749555,0 days 05:30:00,2023,23
BHARTIARTL,973.15,977.15,971.0,11,975.0,2322104,0 days 05:30:00,2023,24
BHARTIARTL,984.9,988.0,971.2,11,974.05,5096984,0 days 05:30:00,2023,28
BHARTIARTL,995.4,1007.1,990.95,11,995.9,5647918,0 days 05:30:00,2023,29
BHARTIARTL,1014.7,1018.2,992.7,11,995.0,9934052,0 days 05:30:00,2023,30
BHARTIARTL,1014.7,1022.55,1008.2,12,1015.0,5544950,0 days 05:30:00,2023,1
BHARTIARTL,1032.9,1044.0,1025.2,12,1036.0,5164902,0 days 05:30:00,2023,4
BHARTIARTL,1031.1,1045.95,1022.1,12,1038.8,4266159,0 days 05:30:00,2023,5
BHARTIARTL,1024.45,1035.0,1013.45,12,1029.1,4121251,0 days 05:30:00,2023,6
BHARTIARTL,1000.0,1019.7,998.0,12,1015.0,13805235,0 days 05:30:00,2023,7
BHARTIARTL,1000.25,1004.0,991.3,12,998.7,6630766,0 days 05:30:00,2023,8
BHARTIARTL,1000.85,1004.6,992.05,12,996.1,6195119,0 days 05:30:00,2023,11
BHARTIARTL,995.25,1000.85,987.0,12,999.25,7119331,0 days 05:30:00,2023,12
BHARTIARTL,999.9,1002.0,991.5,12,993.2,4153219,0 days 05:30:00,2023,13
BHARTIARTL,1005.2,1011.2,999.15,12,1006.0,6541673,0 days 05:30:00,2023,14
BHARTIARTL,992.55,1010.85,988.25,12,999.65,10119597,0 days 05:30:00,2023,15
BHARTIARTL,990.25,998.8,982.15,12,995.0,5750263,0 days 05:30:00,2023,18
BHARTIARTL,988.45,997.95,985.9,12,995.45,3912964,0 days 05:30:00,2023,19
BHARTIARTL,971.55,993.65,969.0,12,992.9,3990591,0 days 05:30:00,2023,20
BHARTIARTL,977.9,981.55,960.0,12,968.0,4294277,0 days 05:30:00,2023,21
BHARTIARTL,989.55,998.95,975.55,12,981.9,4605120,0 days 05:30:00,2023,22
BHARTIARTL,999.85,1002.5,989.65,12,995.0,2460643,0 days 05:30:00,2023,26
BHARTIARTL,1021.2,1024.05,998.0,12,1000.0,4791379,0 days 05:30:00,2023,27
BHARTIARTL,1036.7,1041.95,1022.2,12,1023.9,5288328,0 days 05:30:00,2023,28
BHARTIARTL,1032.2,1043.25,1024.4,12,1033.15,4631749,0 days 05:30:00,2023,29
BHARTIARTL,1013.05,1031.95,1007.0,1,1031.95,3804406,0 days 05:30:00,2024,1
BHARTIARTL,1021.7,1025.45,1016.0,1,1017.4,6865791,0 days 05:30:00,2024,2
BHARTIARTL,1035.2,1037.0,1021.35,1,1031.95,3604276,0 days 05:30:00,2024,3
BHARTIARTL,1047.9,1058.8,1027.55,1,1035.25,4664043,0 days 05:30:00,2024,4
BHARTIARTL,1046.6,1063.65,1038.95,1,1053.8,4008221,0 days 05:30:00,2024,5
BHARTIARTL,1049.05,1059.0,1045.25,1,1050.0,4489695,0 days 05:30:00,2024,8
BHARTIARTL,1064.5,1067.9,1048.05,1,1057.0,3371125,0 days 05:30:00,2024,9
BHARTIARTL,1062.7,1073.3,1055.3,1,1066.95,3111573,0 days 05:30:00,2024,10
BHARTIARTL,1062.85,1073.9,1057.35,1,1065.75,2604325,0 days 05:30:00,2024,11
BHARTIARTL,1076.35,1078.55,1051.6,1,1058.1,3394013,0 days 05:30:00,2024,12
BHARTIARTL,1102.4,1104.7,1074.55,1,1078.05,3312897,0 days 05:30:00,2024,15
BHARTIARTL,1095.9,1117.0,1093.0,1,1107.0,5025540,0 days 05:30:00,2024,16
