Ticker,close,high,low,month,open,volume,time,year,day
BPCL,170.68,174.6,170.43,10,174.25,10514554,0 days 05:30:00,2023,3
BPCL,170.68,172.48,169.78,10,170.68,6049760,0 days 05:30:00,2023,4
BPCL,172.23,173.88,171.4,10,172.75,7115506,0 days 05:30:00,2023,5
BPCL,173.6,174.5,172.0,10,172.5,3717076,0 days 05:30:00,2023,6
BPCL,170.0,170.83,168.08,10,170.5,8740080,0 days 05:30:00,2023,9
BPCL,170.2,171.3,169.6,10,170.03,3572978,0 days 05:30:00,2023,10
BPCL,171.28,172.65,170.75,10,171.1,4799512,0 days 05:30:00,2023,11
BPCL,174.35,175.18,172.03,10,172.45,7703802,0 days 05:30:00,2023,12
BPCL,173.85,175.3,173.53,10,173.55,3981804,0 days 05:30:00,2023,13
BPCL,173.63,174.23,171.0,10,172.5,3262470,0 days 05:30:00,2023,16
BPCL,177.35,178.85,173.35,10,174.45,10443728,0 days 05:30:00,2023,17
BPCL,175.1,178.25,174.43,10,177.5,9162228,0 days 05:30:00,2023,18
BPCL,176.85,177.28,174.58,10,174.75,5743188,0 days 05:30:00,2023,19
BPCL,173.2,176.4,172.28,10,175.3,4400690,0 days 05:30:00,2023,20
BPCL,171.4,173.65,170.83,10,172.78,7813800,0 days 05:30:00,2023,23
BPCL,169.98,173.25,169.25,10,171.28,5429774,0 days 05:30:00,2023,25
BPCL,167.5,169.48,165.73,10,168.8,7743878,0 days 05:30:00,2023,26
BPCL,167.48,169.13,167.0,10,167.5,2996088,0 days 05:30:00,2023,27
BPCL,173.45,174.45,168.55,10,169.0,21873188,0 days 05:30:00,2023,30
BPCL,174.63,176.98,172.33,10,174.18,10673186,0 days 05:30:00,2023,31
BPCL,178.45,179.38,175.28,11,175.28,13929780,0 days 05:30:00,2023,1
BPCL,180.28,181.0,178.63,11,180.48,10130432,0 days 05:30:00,2023,2
BPCL,180.75,181.85,180.1,11,180.58,5627900,0 days 05:30:00,2023,3
BPCL,183.13,184.58,180.68,11,181.4,9072020,0 days 05:30:00,2023,6
BPCL,186.4,186.83,183.1,11,183.4,10702176,0 days 05:30:00,2023,7
BPCL,192.1,193.95,187.03,11,187.73,24020912,0 days 05:30:00,2023,8
BPCL,191.78,195.33,191.4,11,192.55,12843896,0 days 05:30:00,2023,9
BPCL,192.03,193.05,190.25,11,190.9,4932486,0 days 05:30:00,2023,10
BPCL,192.05,194.0,191.58,11,192.5,776810,0 days 05:30:00,2023,12
BPCL,193.55,194.35,191.75,11,191.75,4838906,0 days 05:30:00,2023,13
BPCL,196.28,196.7,193.58,11,194.0,11266250,0 days 05:30:00,2023,15
BPCL,199.33,200.65,196.5,11,197.0,15416172,0 days 05:30:00,2023,16
BPCL,195.13,203.55,194.63,11,200.0,16380696,0 days 05:30:00,2023,17
BPCL,196.0,196.7,193.73,11,195.33,4506882,0 days 05:30:00,2023,20
BPCL,194.0,196.6,193.3,11,196.0,4477214,0 days 05:30:00,2023,21
BPCL,201.05,201.4,195.55,11,196.0,25730664,0 days 05:30:00,2023,22
BPCL,205.65,206.75,200.33,11,201.78,16239092,0 days 05:30:00,2023,23
BPCL,205.3,206.5,203.5,11,206.5,10975546,0 days 05:30:00,2023,24
BPCL,212.25,212.95,206.55,11,207.03,23186856,0 days 05:30:00,2023,28
BPCL,214.33,217.23,209.35,11,213.0,25208812,0 days 05:30:00,2023,29
BPCL,217.85,219.38,214.53,11,217.25,32721308,0 days 05:30:00,2023,30
BPCL,219.0,221.2,216.7,12,220.0,19278842,0 days 05:30:00,2023,1
BPCL,230.75,232.4,222.0,12,222.5,41482794,0 days 05:30:00,2023,4
BPCL,236.1,238.23,232.5,12,235.03,38376064,0 days 05:30:00,2023,5
BPCL,236.43,241.25,234.15,12,240.5,27408826,0 days 05:30:00,2023,6
BPCL,237.35,239.5,235.75,12,238.5,23850564,0 days 05:30:00,2023,7
BPCL,235.23,238.73,232.9,12,238.45,18940478,0 days 05:30:00,2023,8
BPCL,232.75,237.43,228.28,12,237.43,27693108,0 days 05:30:00,2023,11
BPCL,223.78,225.73,222.75,12,222.75,19940320,0 days 05:30:00,2023,12
BPCL,223.75,227.18,222.98,12,224.75,26664018,0 days 05:30:00,2023,13
BPCL,222.85,224.98,221.03,12,224.98,12555568,0 days 05:30:00,2023,14
BPCL,224.5,226.73,221.1,12,222.5,22079148,0 days 05:30:00,2023,15
BPCL,223.63,225.13,222.05,12,224.5,16831064,0 days 05:30:00,2023,18
BPCL,224.88,225.75,222.53,12,223.63,12644672,0 days 05:30:00,2023,19
BPCL,219.73,227.68,219.18,12,226.7,17347978,0 days 05:30:00,2023,20
BPCL,224.78,225.23,216.23,12,217.45,18554414,0 days 05:30:00,2023,21
BPCL,223.33,226.68,222.53,12,224.85,11559264,0 days 05:30:00,2023,22
BPCL,225.8,228.25,222.25,12,224.0,22976450,0 days 05:30:00,2023,26
BPCL,227.35,228.2,224.15,12,226.98,12398088,0 days 05:30:00,2023,27
BPCL,232.9,235.43,227.38,12,228.0,45183336,0 days 05:30:00,2023,28
BPCL,225.33,229.0,224.33,12,227.25,17088440,0 days 05:30:00,2023,29
