Ticker,close,high,low,month,open,volume,time,year,day
CIPLA,1182.8,1185.7,1170.95,10,1184.0,1581125,0 days 05:30:00,2023,3
CIPLA,1167.05,1185.0,1161.3,10,1178.1,999123,0 days 05:30:00,2023,4
CIPLA,1161.1,1172.95,1155.25,10,1170.1,1446743,0 days 05:30:00,2023,5
CIPLA,1163.0,1181.7,1160.45,10,1165.0,928951,0 days 05:30:00,2023,6
CIPLA,1159.5,1166.85,1151.65,10,1159.0,822110,0 days 05:30:00,2023,9
CIPLA,1155.05,1163.6,1150.5,10,1160.1,822199,0 days 05:30:00,2023,10
CIPLA,1171.95,1175.0,1146.5,10,1151.0,1465239,0 days 05:30:00,2023,11
CIPLA,1157.9,1186.35,1152.45,10,1179.05,2533930,0 days 05:30:00,2023,12
CIPLA,1167.75,1169.2,1150.0,10,1156.0,940547,0 days 05:30:00,2023,13
CIPLA,1164.4,1170.1,1158.8,10,1166.3,802207,0 days 05:30:00,2023,16
CIPLA,1173.5,1178.05,1160.65,10,1168.0,877856,0 days 05:30:00,2023,17
CIPLA,1210.6,1219.45,1176.15,10,1185.0,7367540,0 days 05:30:00,2023,18
CIPLA,1223.3,1225.0,1189.65,10,1210.5,2157683,0 days 05:30:00,2023,19
CIPLA,1200.2,1221.85,1198.25,10,1221.85,692067,0 days 05:30:00,2023,20
CIPLA,1183.8,1210.2,1178.45,10,1200.0,957929,0 days 05:30:00,2023,23
CIPLA,1157.45,1188.75,1154.05,10,1184.5,1433911,0 days 05:30:00,2023,25
CIPLA,1150.85,1155.0,1132.0,10,1154.8,2016469,0 days 05:30:00,2023,26
CIPLA,1174.25,1197.9,1149.25,10,1152.0,1775011,0 days 05:30:00,2023,27
CIPLA,1193.45,1212.4,1177.5,10,1186.0,2853500,0 days 05:30:00,2023,30
CIPLA,1200.0,1206.1,1191.1,10,1199.95,1720955,0 days 05:30:00,2023,31
CIPLA,1201.25,1208.7,1186.55,11,1200.0,1051902,0 days 05:30:00,2023,1
CIPLA,1208.5,1211.85,1194.65,11,1205.5,1556467,0 days 05:30:00,2023,2
CIPLA,1206.35,1219.75,1204.0,11,1215.0,772013,0 days 05:30:00,2023,3
CIPLA,1204.1,1217.0,1197.25,11,1211.95,1262938,0 days 05:30:00,2023,6
CIPLA,1216.45,1217.5,1200.75,11,1205.0,1210644,0 days 05:30:00,2023,7
