Ticker,close,high,low,month,open,volume,time,year,day
ONGC,184.6,189.3,183.65,10,189.3,22118500,0 days 05:30:00,2023,3
ONGC,182.75,184.6,182.1,10,184.45,9360058,0 days 05:30:00,2023,4
ONGC,182.2,184.0,181.0,10,181.25,11128340,0 days 05:30:00,2023,5
ONGC,181.45,183.5,180.6,10,183.5,5759904,0 days 05:30:00,2023,6
ONGC,181.7,184.7,181.25,10,182.9,14622727,0 days 05:30:00,2023,9
ONGC,183.5,184.5,182.05,10,182.3,11819690,0 days 05:30:00,2023,10
ONGC,183.25,184.7,182.75,10,184.4,8499601,0 days 05:30:00,2023,11
ONGC,184.45,184.85,183.0,10,183.2,8677885,0 days 05:30:00,2023,12
ONGC,184.9,186.25,184.05,10,184.5,7435899,0 days 05:30:00,2023,13
ONGC,186.55,188.2,186.25,10,187.95,12376549,0 days 05:30:00,2023,16
ONGC,186.25,187.05,185.55,10,187.0,4381065,0 days 05:30:00,2023,17
ONGC,186.95,188.05,186.05,10,188.0,10181113,0 days 05:30:00,2023,18
ONGC,186.3,186.65,185.05,10,186.0,9148124,0 days 05:30:00,2023,19
ONGC,186.2,187.3,185.15,10,187.0,7912216,0 days 05:30:00,2023,20
ONGC,184.85,185.95,184.2,10,185.95,4723090,0 days 05:30:00,2023,23
ONGC,184.35,185.85,183.0,10,184.85,6812004,0 days 05:30:00,2023,25
ONGC,180.9,184.15,179.9,10,183.5,8474867,0 days 05:30:00,2023,26
ONGC,184.75,185.8,180.3,10,181.0,6422123,0 days 05:30:00,2023,27
ONGC,188.8,189.2,184.6,10,185.0,7352638,0 days 05:30:00,2023,30
ONGC,186.15,189.8,184.2,10,189.2,9404675,0 days 05:30:00,2023,31
ONGC,186.7,188.8,185.05,11,186.15,9167869,0 days 05:30:00,2023,1
ONGC,186.2,187.65,185.75,11,187.0,11471209,0 days 05:30:00,2023,2
ONGC,190.0,190.65,185.8,11,186.65,7464912,0 days 05:30:00,2023,3
ONGC,193.3,194.2,189.55,11,190.2,8962124,0 days 05:30:00,2023,6
ONGC,193.2,198.0,192.35,11,193.4,13921916,0 days 05:30:00,2023,7
ONGC,195.35,196.55,192.3,11,193.7,10186886,0 days 05:30:00,2023,8
ONGC,192.7,196.7,192.2,11,196.5,5303833,0 days 05:30:00,2023,9
ONGC,195.9,196.5,192.7,11,192.7,6025889,0 days 05:30:00,2023,10
ONGC,196.75,198.8,195.9,11,198.8,2988611,0 days 05:30:00,2023,12
ONGC,195.8,197.3,194.1,11,195.9,11181086,0 days 05:30:00,2023,13
ONGC,199.5,203.0,197.65,11,198.5,19769385,0 days 05:30:00,2023,15
ONGC,201.8,203.4,201.0,11,202.5,18629240,0 days 05:30:00,2023,16
ONGC,196.35,201.25,195.55,11,200.85,13199928,0 days 05:30:00,2023,17
ONGC,197.85,198.5,197.0,11,198.0,6423265,0 days 05:30:00,2023,20
ONGC,191.2,193.95,191.0,11,193.0,10720353,0 days 05:30:00,2023,21
ONGC,191.0,191.85,189.75,11,191.2,7538825,0 days 05:30:00,2023,22
ONGC,190.65,191.75,189.6,11,191.0,6541617,0 days 05:30:00,2023,23
ONGC,188.85,191.85,188.15,11,190.85,5751331,0 days 05:30:00,2023,24
ONGC,193.95,194.45,188.4,11,188.85,9277764,0 days 05:30:00,2023,28
ONGC,192.0,195.5,191.7,11,195.5,8791333,0 days 05:30:00,2023,29
ONGC,194.95,195.65,192.05,11,192.65,14965403,0 days 05:30:00,2023,30
ONGC,194.55,198.25,194.25,12,195.25,9935740,0 days 05:30:00,2023,1
ONGC,202.05,205.9,196.05,12,196.5,28615290,0 days 05:30:00,2023,4
ONGC,202.05,203.95,199.15,12,202.2,14557746,0 days 05:30:00,2023,5
ONGC,201.95,203.75,199.1,12,203.75,12662213,0 days 05:30:00,2023,6
ONGC,198.9,200.9,196.05,12,200.9,16425880,0 days 05:30:00,2023,7
ONGC,195.95,200.3,194.1,12,199.85,10414387,0 days 05:30:00,2023,8
ONGC,197.8,200.85,194.25,12,197.05,10108266,0 days 05:30:00,2023,11
