Ticker,close,high,low,month,open,volume,time,year,day
TATASTEEL,128.0,129.1,127.25,10,129.0,18613557,0 days 05:30:00,2023,3
TATASTEEL,125.3,127.1,124.5,10,127.0,33272725,0 days 05:30:00,2023,4
TATASTEEL,125.25,126.15,124.55,10,125.9,27063441,0 days 05:30:00,2023,5
TATASTEEL,125.9,127.0,125.1,10,126.5,21928671,0 days 05:30:00,2023,6
TATASTEEL,123.85,124.9,122.6,10,124.8,21457836,0 days 05:30:00,2023,9
TATASTEEL,125.3,125.9,123.75,10,124.7,28745957,0 days 05:30:00,2023,10
TATASTEEL,124.95,126.3,124.7,10,126.0,24455932,0 days 05:30:00,2023,11
TATASTEEL,125.9,126.9,125.1,10,125.35,19361688,0 days 05:30:00,2023,12
TATASTEEL,125.05,125.75,124.0,10,125.0,26912800,0 days 05:30:00,2023,13
TATASTEEL,127.0,127.25,124.95,10,125.1,23868700,0 days 05:30:00,2023,16
TATASTEEL,127.4,128.55,127.0,10,127.9,24241710,0 days 05:30:00,2023,17
TATASTEEL,127.1,128.7,126.6,10,127.85,20926079,0 days 05:30:00,2023,18
TATASTEEL,126.0,126.5,124.35,10,125.5,30941319,0 days 05:30:00,2023,19
TATASTEEL,123.1,125.75,122.7,10,125.0,30746140,0 days 05:30:00,2023,20
TATASTEEL,120.0,123.4,119.7,10,123.35,30699479,0 days 05:30:00,2023,23
TATASTEEL,121.35,122.8,120.75,10,121.2,27346103,0 days 05:30:00,2023,25
TATASTEEL,119.9,120.9,118.9,10,120.85,36298907,0 days 05:30:00,2023,26
TATASTEEL,119.9,121.8,119.5,10,120.5,28424007,0 days 05:30:00,2023,27
TATASTEEL,119.15,121.25,118.95,10,121.05,18753217,0 days 05:30:00,2023,30
TATASTEEL,118.75,120.15,118.4,10,120.0,22319950,0 days 05:30:00,2023,31
TATASTEEL,116.6,119.1,116.0,11,119.0,24717941,0 days 05:30:00,2023,1
TATASTEEL,118.1,118.55,114.6,11,114.6,72538804,0 days 05:30:00,2023,2
TATASTEEL,117.3,118.6,117.1,11,118.2,31747230,0 days 05:30:00,2023,3
TATASTEEL,119.4,119.65,117.5,11,118.5,27883152,0 days 05:30:00,2023,6
TATASTEEL,119.65,120.2,118.4,11,119.3,25818033,0 days 05:30:00,2023,7
TATASTEEL,119.05,120.5,118.55,11,119.75,22552386,0 days 05:30:00,2023,8
TATASTEEL,119.65,120.5,118.85,11,119.2,22979112,0 days 05:30:00,2023,9
TATASTEEL,120.05,120.45,118.8,11,119.5,23584510,0 days 05:30:00,2023,10
TATASTEEL,120.85,121.6,120.6,11,121.6,3984034,0 days 05:30:00,2023,12
TATASTEEL,121.0,121.25,119.9,11,120.85,17951775,0 days 05:30:00,2023,13
TATASTEEL,124.05,124.4,121.5,11,121.7,38344393,0 days 05:30:00,2023,15
TATASTEEL,124.7,125.25,123.0,11,124.0,30836413,0 days 05:30:00,2023,16
TATASTEEL,125.2,125.75,124.3,11,124.7,23319439,0 days 05:30:00,2023,17
TATASTEEL,124.35,125.65,124.05,11,125.05,18780290,0 days 05:30:00,2023,20
TATASTEEL,126.25,126.4,124.95,11,125.05,29643312,0 days 05:30:00,2023,21
TATASTEEL,126.1,126.9,125.5,11,126.4,19588063,0 days 05:30:00,2023,22
TATASTEEL,126.7,127.4,125.9,11,126.35,30736851,0 days 05:30:00,2023,23
TATASTEEL,125.95,127.0,125.55,11,126.7,14719450,0 days 05:30:00,2023,24
TATASTEEL,126.85,127.0,126.0,11,127.0,18377843,0 days 05:30:00,2023,28
TATASTEEL,127.75,128.15,126.7,11,127.15,23092165,0 days 05:30:00,2023,29
TATASTEEL,127.9,128.85,126.5,11,127.8,40165104,0 days 05:30:00,2023,30
TATASTEEL,130.0,130.3,128.05,12,128.9,31192397,0 days 05:30:00,2023,1
TATASTEEL,131.0,132.35,130.4,12,132.2,41230928,0 days 05:30:00,2023,4
TATASTEEL,131.6,132.45,130.0,12,131.0,35192149,0 days 05:30:00,2023,5
TATASTEEL,131.85,133.4,130.8,12,132.5,40753593,0 days 05:30:00,2023,6
TATASTEEL,130.0,132.2,129.8,12,131.7,34686333,0 days 05:30:00,2023,7
TATASTEEL,129.2,131.4,127.95,12,130.15,34393711,0 days 05:30:00,2023,8
TATASTEEL,130.05,130.5,128.75,12,129.85,24038059,0 days 05:30:00,2023,11
TATASTEEL,130.1,132.15,129.7,12,130.05,30696410,0 days 05:30:00,2023,12
TATASTEEL,131.4,131.5,129.15,12,130.55,22767972,0 days 05:30:00,2023,13
TATASTEEL,132.0,133.25,131.5,12,132.3,43372143,0 days 05:30:00,2023,14
TATASTEEL,136.45,136.75,133.0,12,133.4,77377446,0 days 05:30:00,2023,15
TATASTEEL,136.6,137.6,135.1,12,136.85,38461877,0 days 05:30:00,2023,18
TATASTEEL,135.4,137.6,134.8,12,136.65,27726431,0 days 05:30:00,2023,19
TATASTEEL,129.75,136.15,128.75,12,135.9,39495961,0 days 05:30:00,2023,20
TATASTEEL,131.0,131.45,127.85,12,128.7,34914399,0 days 05:30:00,2023,21
TATASTEEL,133.55,134.75,131.75,12,132.4,37357334,0 days 05:30:00,2023,22
TATASTEEL,135.2,136.1,134.45,12,134.7,25936447,0 days 05:30:00,2023,26
TATASTEEL,137.2,138.9,135.5,12,135.85,48101400,0 days 05:30:00,2023,27
TATASTEEL,138.15,138.75,136.85,12,138.15,34661176,0 days 05:30:00,2023,28
TATASTEEL,139.6,141.25,137.15,12,138.6,49202910,0 days 05:30:00,2023,29
TATASTEEL,139.85,140.95,139.05,1,140.0,21186105,0 days 05:30:00,2024,1
TATASTEEL,139.6,140.6,137.05,1,140.5,27764060,0 days 05:30:00,2024,2
TATASTEEL,135.35,139.6,134.35,1,139.5,45176618,0 days 05:30:00,2024,3
TATASTEEL,134.25,136.35,134.0,1,136.0,43913498,0 days 05:30:00,2024,4
TATASTEEL,133.65,135.95,132.85,1,135.0,71330190,0 days 05:30:00,2024,5
TATASTEEL,132.0,135.95,131.75,1,135.3,39559717,0 days 05:30:00,2024,8
TATASTEEL,133.65,134.8,132.5,1,133.5,30736868,0 days 05:30:00,2024,9
TATASTEEL,134.1,134.7,132.1,1,133.8,27213624,0 days 05:30:00,2024,10
TATASTEEL,134.9,135.65,134.2,1,134.85,23113349,0 days 05:30:00,2024,11
TATASTEEL,135.3,136.25,134.65,1,135.8,32883921,0 days 05:30:00,2024,12
TATASTEEL,134.9,136.25,133.95,1,136.0,34158775,0 days 05:30:00,2024,15
TATASTEEL,137.25,138.5,134.0,1,134.7,56361287,0 days 05:30:00,2024,16
TATASTEEL,131.65,135.75,131.4,1,135.45,58982971,0 days 05:30:00,2024,17
TATASTEEL,131.0,132.25,128.2,1,131.65,45273496,0 days 05:30:00,2024,18
TATASTEEL,134.25,134.7,131.6,1,132.6,32653013,0 days 05:30:00,2024,19
TATASTEEL,133.95,135.2,133.3,1,134.25,16578179,0 days 05:30:00,2024,20
TATASTEEL,130.1,135.2,129.3,1,134.8,35373970,0 days 05:30:00,2024,23
TATASTEEL,135.15,135.55,130.1,1,130.2,39340119,0 days 05:30:00,2024,24
TATASTEEL,133.75,136.5,132.0,1,136.5,61358839,0 days 05:30:00,2024,25
TATASTEEL,135.0,135.4,133.5,1,134.7,29745400,0 days 05:30:00,2024,29
TATASTEEL,134.7,137.7,134.5,1,135.6,35704185,0 days 05:30:00,2024,30
TATASTEEL,135.95,136.7,134.5,1,135.0,36079354,0 days 05:30:00,2024,31
TATASTEEL,134.8,136.75,134.5,2,136.4,31701793,0 days 05:30:00,2024,1
TATASTEEL,138.7,139.6,134.8,2,135.3,69296192,0 days 05:30:00,2024,2
TATASTEEL,141.55,143.35,139.35,2,140.0,80737626,0 days 05:30:00,2024,5
TATASTEEL,144.65,145.1,140.45,2,143.0,53192936,0 days 05:30:00,2024,6
TATASTEEL,144.4,147.4,144.05,2,146.85,61517064,0 days 05:30:00,2024,7
TATASTEEL,143.65,145.65,143.05,2,145.3,38997666,0 days 05:30:00,2024,8
TATASTEEL,141.3,144.45,139.15,2,144.2,35961925,0 days 05:30:00,2024,9
TATASTEEL,137.4,142.95,136.65,2,142.0,36477544,0 days 05:30:00,2024,12
TATASTEEL,137.85,138.25,134.1,2,137.75,39155909,0 days 05:30:00,2024,13
TATASTEEL,141.2,141.5,135.75,2,137.0,29141690,0 days 05:30:00,2024,14
TATASTEEL,141.2,143.45,141.0,2,141.5,31587387,0 days 05:30:00,2024,15
TATASTEEL,142.3,143.45,141.5,2,142.05,22316127,0 days 05:30:00,2024,16
TATASTEEL,141.95,143.35,141.35,2,142.95,16973568,0 days 05:30:00,2024,19
TATASTEEL,141.05,142.25,140.05,2,141.95,24291123,0 days 05:30:00,2024,20
TATASTEEL,143.9,146.2,141.45,2,141.55,88000833,0 days 05:30:00,2024,21
TATASTEEL,145.9,146.15,143.5,2,145.0,46728176,0 days 05:30:00,2024,22
TATASTEEL,145.45,147.1,145.0,2,146.4,28414697,0 days 05:30:00,2024,23
TATASTEEL,142.65,145.95,142.25,2,145.85,22570277,0 days 05:30:00,2024,26
TATASTEEL,144.2,144.5,142.0,2,142.65,24119469,0 days 05:30:00,2024,27
